URL,Title,Localisation,Price,Chambre,Salle de bain,Type,Secteur,Salons,Surface habitable,Age de bien,Etage,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine equipee,Duplex,Meuble,Parking,Securite,Terrasse
https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_128_m%C2%B2_%C3%A0_Casablanca_55633665.htm,Appartement à vendre 128 m² à Casablanca,casablanca,1600000.0,2,2,Vendre,maarif,2.0,128.0,2.0,2,True,True,False,True,True,False,False,False,True,False,False
https://www.avito.ma/fr/oulfa/appartements/Bel_appartement_a_vendre_55633578.htm,Bel appartement a vendre,casablanca,725000.0,2,2,Vendre,oulfa,2.0,73.0,2.0,0,True,False,False,False,True,False,False,False,True,False,False
https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1663___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_55632965.htm,CMN-AN-1663 - Appartement à vendre à Bourgogne,casablanca,1750000.0,2,1,Vendre,bourgogne,2.0,123.0,2.0,4,True,True,False,False,False,False,False,False,False,False,True
https://www.avito.ma/fr/hay_albaraka/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_Casablanca_55632931.htm,Appartement à vendre 74 m² à Casablanca,casablanca,590000.0,2,1,Vendre,hay albaraka,2.0,74.0,2.0,3,False,True,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/hay_lazaret/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Oujda_54917051.htm,Appartement à vendre 80 m² à Oujda,oujda,490000.0,2,1,Vendre,hay lazaret,2.0,80.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/maarif/appartements/apartement_a_vendre__55631972.htm,apartement a vendre,casablanca,1709157.6198949767,2,1,Vendre,maarif,2.0,250.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_roche_noir_55631856.htm,Appartement à roche noir,casablanca,680000.0,2,1,Vendre,roches noires,2.0,60.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/hay_essalam/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_El_Jadida_55631805.htm,Appartement à vendre 98 m² à El Jadida,el jadida,1900000.0,5,3,Vendre,hay essalam,3.0,98.0,5.0,3,False,True,False,False,False,False,False,False,True,False,True
https://www.avito.ma/fr/martil/appartements/Appartement_%C3%A0_vendre_93_m%C2%B2_%C3%A0_Martil_54991403.htm,Appartement à vendre 93 m² à Martil,martil,1390000.0,2,1,Vendre,toute la ville,1.0,93.0,2.0,1,True,True,False,False,False,False,False,False,True,False,False
https://www.avito.ma/fr/c.i.l/appartements/Appartement_%C3%A0_vendre_105_m%C2%B2_%C3%A0_Casablanca_55631335.htm,Appartement à vendre 105 m² à Casablanca,casablanca,13000000.0,3,2,Vendre,c.i.l,3.0,105.0,3.0,3,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/hassania_1/appartements/_agr%C3%A9able_Appartement_%C3%A0_vendre_58_m%C2%B2_%C3%A0_Mohammedia_55631271.htm,agréable Appartement à vendre 58 m² à Mohammedia,mohammedia,1310735.1882450688,3,2,Vendre,hassania 1,1.0,58.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/souissi/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_%C3%A0_Rabat_55631212.htm,Appartement à vendre 140 m² à Rabat,rabat,4100000.0,2,2,Vendre,souissi,2.0,140.0,2.0,3,False,False,False,False,False,False,False,False,False,False,False
